rank,commodity,data_confidence_score,model_status,elevation_m,slope_deg,relief_m_local,dem_coverage,latitude,longitude,model_version
1,manganese,30,SCREENING_ONLY,1787.0,4.438062251891783,12.0,WITHIN_TILE,29.167482437246917,54.2432074305577,v4-dem-enriched-screening
2,manganese,30,SCREENING_ONLY,1709.0,9.040486778731864,24.59999999999991,WITHIN_TILE,29.176603412385436,54.24810259397453,v4-dem-enriched-screening
3,manganese,30,SCREENING_ONLY,1842.0,4.438062251891783,12.0,WITHIN_TILE,29.158572820772733,54.24858380544572,v4-dem-enriched-screening
4,manganese,30,SCREENING_ONLY,1864.0,4.879822141442427,13.200000000000045,WITHIN_TILE,29.176179331723333,54.2275576718212,v4-dem-enriched-screening
5,manganese,30,SCREENING_ONLY,1734.0,8.895856969663313,24.200000000000045,WITHIN_TILE,29.176391765340274,54.23783007773625,v4-dem-enriched-screening
6,manganese,30,SCREENING_ONLY,2020.0,25.45599237926669,73.59999999999991,WITHIN_TILE,29.158255288988137,54.23317775852723,v4-dem-enriched-screening
7,manganese,30,SCREENING_ONLY,2060.0,19.647824500010966,55.19999999999982,WITHIN_TILE,29.171458586110592,54.21740706417086,v4-dem-enriched-screening
8,manganese,30,SCREENING_ONLY,2584.0,16.29609005151419,45.20000000000027,WITHIN_TILE,29.157935988752147,54.21777196011203,v4-dem-enriched-screening
9,manganese,30,SCREENING_ONLY,1634.0,5.981569250497084,16.199999999999818,WITHIN_TILE,29.202264060944533,54.18158111181517,v4-dem-enriched-screening
10,manganese,30,SCREENING_ONLY,1626.0,3.0359112922931013,8.199999999999818,WITHIN_TILE,29.2024741072677,54.190867695131494,v4-dem-enriched-screening
